ID,Título do Artigo,Autores,Ano de Publicação,País e Instituição,Veículo de Publicação,Backbone CNN (QP1),Backbone ViT / Atenção (QP1),Tipo de Estrutura (QP1),Topologia de Fusão (QP2),Complexidade Física (QP3),Desempenho Temporal (QP3),Hardware de Borda Real (QP3),Eficácia Preditiva e Datasets (QP4),Limitações Declaradas
A1,A hybrid CNN-transformer network: Accurate and efficient semantic segmentation of crops and weeds on resource-constrained embedded devices,Yifan Wei et al.,2025,China / Changchun University of Technology,Crop Protection,MobileNetV2 (bloco CEDB),Shared Transformer (baseado em LeViT),Customizada,Paralela (módulos PITSEM e G-L SFB),0.1887M parâmetros; 0.2145G FLOPs,28.28 ms; 35.36 FPS,NVIDIA Jetson Orin NX,"0.8988 mIoU nos datasets BoniRob, CWFID e WeedMap",Estruturas leves podem sacrificar desempenho de segmentação; possíveis erros de classificação em bordas.
A2,A Hardware Accelerator for Infrared and Visible Image Fusion Based on Deep Learning,Rui Li et al.,2026,China / Beijing Institute of Technology,AINIT,APWNet,Swin Transformer,Customizada,Integrada no Bloco,Alta ocupação de DSP (79.2%),28.5 ms (FPGA); 5.26 ms (GPU),Xilinx xczu15eg FPGA,Melhoria em métricas EN e QAB/F nos datasets RoadScene e TNO,Dificuldade no equilíbrio entre preservação de detalhes de textura e intensidade luminosa.
A3,Adaptive Multi-Modal Vision Transformer (AMVT) for Real-Time Image Segmentation in Autonomous Vehicles,"Chilukuri Dileep, S. Radhakrishnan, Prasanna Lakshmi, Mohammed Fallah, Siddamma, Nandhini T J",2025,"Índia e Iraque / CMR Institute of Technology, Sethu Institute of Technology, Gokaraju Rangaraju Institute of Engineering and Technology, The Islamic University, CMR Technical Campus, Saveetha Institute of Medical and Technical Sciences",2025 International Conference on Metaverse and Current Trends in Computing (ICMCTC),Extrator de Características Híbrido CNN,Swin / PVT,Customizada,Integrada no Bloco,-,< 10 ms (115 FPS),NVIDIA Jetson Orin,"> 90% mIoU em segmentação de objetos dinâmicos (Cityscapes, KITTI)",Instabilidades e flickering em movimentos rápidos; necessidade de fusão com LiDAR.
A4,Advancing efficiency and accuracy in aerial image classification for disaster incidents with SqueezeViT and UAVDisaster36K benchmark,Demetris Shianios et al.,2026,Chipre / University of Cyprus,Neurocomputing,SqueezeNet,Transformer Encoder,Padrão,Serial/Cascateada,0.69M parâmetros; 0.63G FLOPs,6.59 ms a 18.4 ms (conforme Jetson),Jetson Nano / Xavier / Orin,88.08% de acurácia no UAVDisaster36K,Retornos decrescentes com embeddings mais profundos; desequilíbrio de classes causado pela divisão por vídeo.
A5,Algorithm for Detecting Trees Affected by Pine Wilt Disease in Complex Scenes Based on CNN-Transformer,Q. Wu et al.,2025,China / Northwest A&F University,Forests,MobileNetV2,MobileViT,Customizada,Integrada no Bloco (estilo U-Net),1.195M parâmetros; 1.636G FLOPs,850.43 FPS,NVIDIA Jetson,0.713 IoU em árvores descoloridas,Drones de asa fixa exigem pistas; quadricópteros possuem menor resolução de amostragem.
A6,An Efficient Hybrid Vision Transformer for TinyML Applications,Fanhong Zeng et al.,2025,China / Xidian University,2025 IEEE/CVF International Conference on Computer Vision (ICCV),TinyNeXt (Customizado),Lean Single-Head Self-Attention,Customizada,Integrada no Bloco,1.0M a 1.3M parâmetros,14.3 ms,NVIDIA Jetson Nano,71.5% a 72.7% Top-1 no ImageNet-1K,Complexidade quadrática do módulo LeanSHSA restringe tarefas de alta resolução.
A7,An Ultra Lightweight Interpretable Convolution-Vision Transformer Fusion Model for Plant Disease Identification: ConViTX,Poornima Singh Thakur et al.,2025,Índia / PDPM IIITDM Jabalpur,IEEE Transactions on AgriFood Electronics,MobileNetV2 (primeiros blocos),ViT Encoder,Padrão,Paralela/Dual-Branch,0.7M parâmetros; 0.647G FLOPs,29 FPS,NVIDIA DGX A100 (Treino),99.54% acurácia no PlantVillage; 98.8% no dataset de milho,Queda de desempenho em datasets altamente desequilibrados (ex: Embrapa).
A8,Attention-Driven Multimodal Deep Learning Architecture for Violence Detection in Ride-Sharing Safety Systems,Qazi Mazar Ul Haq et al.,2025,Portugal / University of Minho,2025 International Conference on Frontiers of Information Technology (FIT),CNN Genérica,Transformer Encoders,Customizada,Injeção por Atenção,-,< 200 ms,NVIDIA Jetson Xavier NX,98% acurácia no dataset MoLA-InCar,Dependência de dados unimodais reduz robustez; degradação sob ruído severo.
A9,Bridging convolution and attention: An ultra-lightweight hybrid model for freeze damage classification in camelina,N. Paul et al.,2025,EUA / North Dakota State University,Smart Agricultural Technology,DenseNet-121 (truncada),MHSA (8 heads),Customizada,Serial/Cascateada,~359K parâmetros; 1.37 MB de tamanho,~79 ms por imagem,NVIDIA Jetson Orin Nano,95% acurácia no dataset Camelina,Dados de estufa não capturam variabilidade ambiental real; dificuldade em distinguir danos leves.
A10,CAS-ViT: Convolutional Additive Self-Attention Vision Transformers for Efficient Mobile Applications,Tianfang Zhang et al.,2026,China / Tsinghua University,IEEE,Blocos CAS (Customizados),Convolutional Additive Token Mixer (CATM),Customizada,Integrada no Bloco,12M a 21M parâmetros (modelos M e T),Throughput superior em iPhones e GPUs,Apple iPhone X / V100 GPU,83.0% a 84.1% Top-1 no ImageNet-1K,Viés indutivo excessivo torna-o menos eficaz em datasets massivos; escalabilidade não linear.
